,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
5838,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/academy-for-allied-health-science-scotch-plains-nj/
5840,#10 Best Public High Schools in New Jersey,H,Freehold,A+Overall Niche Grade,9-12 ,Biotechnology High School,330 Students,7.0,14:1 Student-Teacher Ratio, NJ ,freehold,Public School ,https://www.niche.com/k12/biotechnology-high-school-freehold-nj/
5842,#11 Best Public High Schools in New Jersey,H,Princeton Public Schools,A+Overall Niche Grade,9-12 ,Princeton High School,"1,581 Students",8.0,13:1 Student-Teacher Ratio, NJ ,princeton,Public School ,https://www.niche.com/k12/princeton-high-school-princeton-nj/
5844,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/academy-for-information-technology-scotch-plains-nj/
5847,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/the-academy-for-mathematics-science--and--engineering-rockaway-nj/
5848,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/academy-of-allied-health--and--science-neptune-nj/
5849,#15 Best Public High Schools in New Jersey,H,West Windsor-Plainsboro Regional School District,A+Overall Niche Grade,9-12 ,West Windsor-Plainsboro High School North,"1,340 Students",9.0,12:1 Student-Teacher Ratio, NJ ,north-plainsboro,Public School ,https://www.niche.com/k12/west-windsor-plainsboro-high-school-north-plainsboro-nj/
5851,#16 Best Public High Schools in New Jersey,H,Livingston Board of Education School District,A+Overall Niche Grade,9-12 ,Livingston Senior High School,"1,883 Students",10.0,11:1 Student-Teacher Ratio, NJ ,livingston,Public School ,https://www.niche.com/k12/livingston-senior-high-school-livingston-nj/
5853,#17 Best Public High Schools in New Jersey,H,The School District of the Chathams,A+Overall Niche Grade,9-12 ,Chatham High School,"1,240 Students",11.0,12:1 Student-Teacher Ratio, NJ ,chatham,Public School ,https://www.niche.com/k12/chatham-high-school-chatham-nj/
5857,#18 Best Public High Schools in New Jersey,H,Montgomery Township School District,A+Overall Niche Grade,9-12 ,Montgomery High School,"1,627 Students",12.0,13:1 Student-Teacher Ratio, NJ ,skillman,Public School ,https://www.niche.com/k12/montgomery-high-school-skillman-nj/
5859,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/marine-academy-of-science--and--technology-highlands-nj/
5860,#20 Best Public High Schools in New Jersey,H,Tenafly Public School District,A+Overall Niche Grade,9-12 ,Tenafly High School,"1,160 Students",13.0,11:1 Student-Teacher Ratio, NJ ,tenafly,Public School ,https://www.niche.com/k12/tenafly-high-school-tenafly-nj/
5862,#21 Best Public High Schools in New Jersey,H,Bernards Township School District,A+Overall Niche Grade,9-12 ,Ridge High School,"1,861 Students",14.0,13:1 Student-Teacher Ratio, NJ ,basking-ridge,Public School ,https://www.niche.com/k12/ridge-high-school-basking-ridge-nj/
5864,#22 Best Public High Schools in New Jersey,H,Allendale,A+Overall Niche Grade,9-12 ,Northern Highlands Regional High School,"1,361 Students",15.0,12:1 Student-Teacher Ratio, NJ ,allendale,Public School ,https://www.niche.com/k12/northern-highlands-regional-high-school-allendale-nj/
5867,#23 Best Public High Schools in New Jersey,H,Edison Township School District,A+Overall Niche Grade,9-12 ,J.P. Stevens High School,"2,314 Students",16.0,15:1 Student-Teacher Ratio, NJ ,edison,Public School ,https://www.niche.com/k12/jp-stevens-high-school-edison-nj/
5869,#24 Best Public High Schools in New Jersey,H,Summit Public School District,A+Overall Niche Grade,9-12 ,Summit Senior High School,"1,239 Students",17.0,12:1 Student-Teacher Ratio, NJ ,summit,Public School ,https://www.niche.com/k12/summit-senior-high-school-summit-nj/
5871,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/middlesex-county-academy-for-science-mathematics--and--engineering-technologies-edison-nj/
5872,,H,ny,,,,,,,ny,,,https://www.niche.com/k12/basis-independent-manhattan-new-york-ny/
5877,#27 Best Public High Schools in New Jersey,H,Denville,A+Overall Niche Grade,9-12 ,Morris County School of Technology,713 Students,20.0,10:1 Student-Teacher Ratio, NJ ,of-technology-denville,Public School ,https://www.niche.com/k12/morris-county-school-of-technology-denville-nj/
5879,#28 Best Public High Schools in New Jersey,H,Haddonfield Public Schools,A+Overall Niche Grade,9-12 ,Haddonfield Memorial High School,822 Students,21.0,10:1 Student-Teacher Ratio, NJ ,haddonfield,Public School ,https://www.niche.com/k12/haddonfield-memorial-high-school-haddonfield-nj/
5883,#29 Best Public High Schools in New Jersey,H,Wall,A+Overall Niche Grade,9-12 ,Communications High School,312 Students,23.0,11:1 Student-Teacher Ratio, NJ ,wall,Public School ,https://www.niche.com/k12/communications-high-school-wall-nj/
5885,#30 Best Public High Schools in New Jersey,H,Glen Ridge Public School District,A+Overall Niche Grade,7-12 ,Glen Ridge High School,822 Students,24.0,11:1 Student-Teacher Ratio, NJ ,glen-ridge,Public School ,https://www.niche.com/k12/glen-ridge-high-school-glen-ridge-nj/
5887,#31 Best Public High Schools in New Jersey,H,South Brunswick School District,A+Overall Niche Grade,9-12 ,South Brunswick High School,"2,889 Students",25.0,15:1 Student-Teacher Ratio, NJ ,monmouth-junction,Public School ,https://www.niche.com/k12/south-brunswick-high-school-monmouth-junction-nj/
5891,#32 Best Public High Schools in New Jersey,H,Somerset Hills Regional School District,A+Overall Niche Grade,9-12 ,Bernards High School,831 Students,26.0,12:1 Student-Teacher Ratio, NJ ,bernardsville,Public School ,https://www.niche.com/k12/bernards-high-school-bernardsville-nj/
5893,#33 Best Public High Schools in New Jersey,H,Mountain Lakes School District,A+Overall Niche Grade,9-12 ,Mountain Lakes High School,693 Students,27.0,11:1 Student-Teacher Ratio, NJ ,mountain-lakes,Public School ,https://www.niche.com/k12/mountain-lakes-high-school-mountain-lakes-nj/
5895,#34 Best Public High Schools in New Jersey,H,Fair Lawn School District,A+Overall Niche Grade,9-12 ,Fair Lawn High School,"1,392 Students",28.0,12:1 Student-Teacher Ratio, NJ ,fair-lawn,Public School ,https://www.niche.com/k12/fair-lawn-high-school-fair-lawn-nj/
5898,#35 Best Public High Schools in New Jersey,H,Westfield Public School District,A+Overall Niche Grade,9-12 ,Westfield Senior High School,"1,874 Students",29.0,12:1 Student-Teacher Ratio, NJ ,westfield,Public School ,https://www.niche.com/k12/westfield-senior-high-school-westfield-nj/
5900,#37 Best Public High Schools in New Jersey,H,Montclair Public Schools,A+Overall Niche Grade,9-12 ,Montclair High School,"2,009 Students",30.0,12:1 Student-Teacher Ratio, NJ ,montclair,Public School ,https://www.niche.com/k12/montclair-high-school-montclair-nj/
5902,#38 Best Public High Schools in New Jersey,H,N Bergen,A+Overall Niche Grade,9-12 ,High Tech High School,"1,049 Students",31.0,13:1 Student-Teacher Ratio, NJ ,n-bergen,Public School ,https://www.niche.com/k12/high-tech-high-school-n-bergen-nj/
5906,#39 Best Public High Schools in New Jersey,H,Northern Valley Regional High School District,A+Overall Niche Grade,9-12 ,Northern Valley Regional High School Demarest,998 Students,32.0,10:1 Student-Teacher Ratio, NJ ,demarest-demarest,Public School ,https://www.niche.com/k12/northern-valley-regional-high-school-demarest-demarest-nj/
5908,#40 Best Public High Schools in New Jersey,H,Northern Valley Regional High School District,A+Overall Niche Grade,9-12 ,Northern Valley Regional High School - Old Tappan,"1,197 Students",33.0,12:1 Student-Teacher Ratio, NJ ,--old-tappan-old-tappan,Public School ,https://www.niche.com/k12/northern-valley-regional-high-school---old-tappan-old-tappan-nj/
5910,#41 Best Public High Schools in New Jersey,H,East Brunswick Township School District,A+Overall Niche Grade,10-12 ,East Brunswick High School,"2,049 Students",34.0,13:1 Student-Teacher Ratio, NJ ,e-brunswick,Public School ,https://www.niche.com/k12/east-brunswick-high-school-e-brunswick-nj/
5912,#42 Best Public High Schools in New Jersey,H,Newark Public School District,A+Overall Niche Grade,7-12 ,Science Park High School,805 Students,35.0,13:1 Student-Teacher Ratio, NJ ,newark,Public School ,https://www.niche.com/k12/science-park-high-school-newark-nj/
5914,#43 Best Public High Schools in New Jersey,H,Moorestown Township Public School District,A+Overall Niche Grade,9-12 ,Moorestown High School,"1,315 Students",36.0,12:1 Student-Teacher Ratio, NJ ,moorestown,Public School ,https://www.niche.com/k12/moorestown-high-school-moorestown-nj/
5918,#44 Best Public High Schools in New Jersey,H,Highland Park School District,A+Overall Niche Grade,9-12 ,Highland Park High School,492 Students,37.0,12:1 Student-Teacher Ratio, NJ ,highland-park,Public School ,https://www.niche.com/k12/highland-park-high-school-highland-park-nj/
5920,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/middlesex-county-academy-for-allied-health--and--biomedical-sciences-woodbridge-nj/
5921,#46 Best Public High Schools in New Jersey,H,West Morris Regional High School District,A+Overall Niche Grade,9-12 ,West Morris Mendham High School,"1,292 Students",38.0,13:1 Student-Teacher Ratio, NJ ,mendham,Public School ,https://www.niche.com/k12/west-morris-mendham-high-school-mendham-nj/
5923,#47 Best Public High Schools in New Jersey,H,Berkeley Heights School District,A+Overall Niche Grade,9-12 ,Governor Livingston High School,"1,053 Students",39.0,12:1 Student-Teacher Ratio, NJ ,berkeley-heights,Public School ,https://www.niche.com/k12/governor-livingston-high-school-berkeley-heights-nj/
5925,#48 Best Public High Schools in New Jersey,H,Mahwah Township Public School District,A+Overall Niche Grade,9-12 ,Mahwah High School,925 Students,40.0,10:1 Student-Teacher Ratio, NJ ,mahwah,Public School ,https://www.niche.com/k12/mahwah-high-school-mahwah-nj/
5928,#49 Best Public High Schools in New Jersey,H,Ramapo Indian Hills Regional High School District,A+Overall Niche Grade,9-12 ,Ramapo High School,"1,130 Students",41.0,11:1 Student-Teacher Ratio, NJ ,franklin-lakes,Public School ,https://www.niche.com/k12/ramapo-high-school-franklin-lakes-nj/
5930,#50 Best Public High Schools in New Jersey,H,Warren,A+Overall Niche Grade,9-12 ,Watchung Hills Regional High School,"2,053 Students",42.0,12:1 Student-Teacher Ratio, NJ ,warren,Public School ,https://www.niche.com/k12/watchung-hills-regional-high-school-warren-nj/
5932,#51 Best Public High Schools in New Jersey,H,Bridgewater-Raritan Regional School District,A+Overall Niche Grade,9-12 ,Bridgewater-Raritan High School,"2,909 Students",43.0,13:1 Student-Teacher Ratio, NJ ,bridgewater,Public School ,https://www.niche.com/k12/bridgewater-raritan-high-school-bridgewater-nj/
5950,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/academy-for-performing-arts-scotch-plains-nj/
5953,#58 Best Public High Schools in New Jersey,H,Flemington,A+Overall Niche Grade,9-12 ,Hunterdon Central Regional High School District,"3,019 Students",52.0,13:1 Student-Teacher Ratio, NJ ,flemington-340759003006,Public School ,https://www.niche.com/k12/hunterdon-central-regional-high-school-flemington-nj-340759003006/
5955,#59 Best Public High Schools in New Jersey,H,Cherry Hill School District,A+Overall Niche Grade,9-12 ,Cherry Hill High School East,"2,188 Students",53.0,16:1 Student-Teacher Ratio, NJ ,east-cherry-hill,Public School ,https://www.niche.com/k12/cherry-hill-high-school-east-cherry-hill-nj/
5957,#60 Best Public High Schools in New Jersey,H,Voorhees,A+Overall Niche Grade,9-12 ,Eastern Regional High School,"2,002 Students",54.0,14:1 Student-Teacher Ratio, NJ ,voorhees,Public School ,https://www.niche.com/k12/eastern-regional-high-school-voorhees-nj/
5960,#61 Best Public High Schools in New Jersey,H,Rumson,A+Overall Niche Grade,9-12 ,Rumson Fair Haven Regional High School,981 Students,55.0,12:1 Student-Teacher Ratio, NJ ,rumson,Public School ,https://www.niche.com/k12/rumson-fair-haven-regional-high-school-rumson-nj/
5962,#62 Best Public High Schools in New Jersey,H,West Essex Regional School District,AOverall Niche Grade,9-12 ,West Essex High School,"1,119 Students",56.0,12:1 Student-Teacher Ratio, NJ ,north-caldwell,Public School ,https://www.niche.com/k12/west-essex-high-school-north-caldwell-nj/
5964,#63 Best Public High Schools in New Jersey,H,Glen Rock Board of Education,AOverall Niche Grade,9-12 ,Glen Rock High School,705 Students,57.0,9:1 Student-Teacher Ratio, NJ ,glen-rock,Public School ,https://www.niche.com/k12/glen-rock-high-school-glen-rock-nj/
5968,#64 Best Public High Schools in New Jersey,H,Scotch Plains-Fanwood School District,AOverall Niche Grade,9-12 ,Scotch Plains-Fanwood High School,"1,526 Students",58.0,13:1 Student-Teacher Ratio, NJ ,scotch-plains,Public School ,https://www.niche.com/k12/scotch-plains-fanwood-high-school-scotch-plains-nj/
5970,#65 Best Public High Schools in New Jersey,H,Cranford Public School District,AOverall Niche Grade,9-12 ,Cranford High School,"1,177 Students",59.0,12:1 Student-Teacher Ratio, NJ ,cranford,Public School ,https://www.niche.com/k12/cranford-high-school-cranford-nj/
5972,#66 Best Public High Schools in New Jersey,H,Little Silver,AOverall Niche Grade,9-12 ,Red Bank Regional High School,"1,197 Students",60.0,11:1 Student-Teacher Ratio, NJ ,little-silver,Public School ,https://www.niche.com/k12/red-bank-regional-high-school-little-silver-nj/
5974,#67 Best Public High Schools in New Jersey,H,River Dell Regional School District,AOverall Niche Grade,9-12 ,River Dell Regional High School,"1,034 Students",61.0,11:1 Student-Teacher Ratio, NJ ,oradell,Public School ,https://www.niche.com/k12/river-dell-regional-high-school-oradell-nj/
5976,#68 Best Public High Schools in New Jersey,H,Madison Public School District,AOverall Niche Grade,9-12 ,Madison High School,837 Students,62.0,13:1 Student-Teacher Ratio, NJ ,madison,Public School ,https://www.niche.com/k12/madison-high-school-madison-nj/
5980,#69 Best Public High Schools in New Jersey,H,Parsippany-Troy Hills Township School District,AOverall Niche Grade,9-12 ,Parsippany Hills High School,"1,035 Students",63.0,11:1 Student-Teacher Ratio, NJ ,morris-plains,Public School ,https://www.niche.com/k12/parsippany-hills-high-school-morris-plains-nj/
5982,#70 Best Public High Schools in New Jersey,H,Lenape Regional High School District,AOverall Niche Grade,9-12 ,Lenape High School,"1,752 Students",64.0,12:1 Student-Teacher Ratio, NJ ,medford,Public School ,https://www.niche.com/k12/lenape-high-school-medford-nj/
5984,#71 Best Public High Schools in New Jersey,H,West Morris Regional High School District,AOverall Niche Grade,9-12 ,West Morris Central High School,"1,298 Students",65.0,13:1 Student-Teacher Ratio, NJ ,chester,Public School ,https://www.niche.com/k12/west-morris-central-high-school-chester-nj/
5986,#72 Best Public High Schools in New Jersey,H,Wayne Township Public School District,AOverall Niche Grade,9-12 ,Wayne Hills High School,"1,297 Students",66.0,11:1 Student-Teacher Ratio, NJ ,wayne,Public School ,https://www.niche.com/k12/wayne-hills-high-school-wayne-nj/
5988,#73 Best Public High Schools in New Jersey,H,Parsippany-Troy Hills Township School District,AOverall Niche Grade,9-12 ,Parsippany High School,899 Students,67.0,10:1 Student-Teacher Ratio, NJ ,parsippany,Public School ,https://www.niche.com/k12/parsippany-high-school-parsippany-nj/
5991,#74 Best Public High Schools in New Jersey,H,Morris Hills Regional School District,AOverall Niche Grade,9-12 ,Morris Hills High School,"1,232 Students",68.0,11:1 Student-Teacher Ratio, NJ ,rockaway,Public School ,https://www.niche.com/k12/morris-hills-high-school-rockaway-nj/
5993,#75 Best Public High Schools in New Jersey,H,Ramsey School District,AOverall Niche Grade,9-12 ,Ramsey High School,832 Students,69.0,10:1 Student-Teacher Ratio, NJ ,ramsey,Public School ,https://www.niche.com/k12/ramsey-high-school-ramsey-nj/
5995,#76 Best Public High Schools in New Jersey,H,Pascack Valley Regional High School District,AOverall Niche Grade,9-12 ,Pascack Valley High School,"1,192 Students",70.0,12:1 Student-Teacher Ratio, NJ ,hillsdale,Public School ,https://www.niche.com/k12/pascack-valley-high-school-hillsdale-nj/
6009,#80 Best Public High Schools in New Jersey,H,Garfield,AOverall Niche Grade,K-12 ,Bergen Arts & Sciences Charter School,"1,126 Students",77.0,14:1 Student-Teacher Ratio, NJ ,garfield,Public School ,https://www.niche.com/k12/bergen-arts--and--sciences-charter-school-garfield-nj/
6011,#81 Best Public High Schools in New Jersey,H,Robbinsville Public Schools,AOverall Niche Grade,9-12 ,Robbinsville High School,969 Students,78.0,14:1 Student-Teacher Ratio, NJ ,robbinsville,Public School ,https://www.niche.com/k12/robbinsville-high-school-robbinsville-nj/
6013,#82 Best Public High Schools in New Jersey,H,Metuchen Public School District,AOverall Niche Grade,9-12 ,Metuchen High School,649 Students,79.0,12:1 Student-Teacher Ratio, NJ ,metuchen,Public School ,https://www.niche.com/k12/metuchen-high-school-metuchen-nj/
6017,#83 Best Public High Schools in New Jersey,H,Randolph Township School District,AOverall Niche Grade,9-12 ,Randolph High School,"1,601 Students",80.0,12:1 Student-Teacher Ratio, NJ ,randolph,Public School ,https://www.niche.com/k12/randolph-high-school-randolph-nj/
6019,#84 Best Public High Schools in New Jersey,H,Cresskill Public School District,AOverall Niche Grade,9-12 ,Cresskill High School,537 Students,81.0,10:1 Student-Teacher Ratio, NJ ,cresskill,Public School ,https://www.niche.com/k12/cresskill-high-school-cresskill-nj/
6021,#85 Best Public High Schools in New Jersey,H,Mount Olive Township School District,AOverall Niche Grade,9-12 ,Mount Olive High School,"1,443 Students",82.0,13:1 Student-Teacher Ratio, NJ ,flanders,Public School ,https://www.niche.com/k12/mount-olive-high-school-flanders-nj/
6024,#86 Best Public High Schools in New Jersey,H,Kinnelon School District,AOverall Niche Grade,9-12 ,Kinnelon High School,675 Students,83.0,11:1 Student-Teacher Ratio, NJ ,kinnelon,Public School ,https://www.niche.com/k12/kinnelon-high-school-kinnelon-nj/
6026,#87 Best Public High Schools in New Jersey,H,Pompton Lakes School District,AOverall Niche Grade,9-12 ,Pompton Lakes High School,633 Students,84.0,12:1 Student-Teacher Ratio, NJ ,pompton-lakes,Public School ,https://www.niche.com/k12/pompton-lakes-high-school-pompton-lakes-nj/
6028,#88 Best Public High Schools in New Jersey,H,Upper Freehold Regional School District,AOverall Niche Grade,9-12 ,Allentown High School,"1,272 Students",85.0,14:1 Student-Teacher Ratio, NJ ,allentown,Public School ,https://www.niche.com/k12/allentown-high-school-allentown-nj/
6032,#89 Best Public High Schools in New Jersey,H,Woodbridge Township School District,AOverall Niche Grade,9-12 ,John F. Kennedy Memorial High School,"1,327 Students",86.0,12:1 Student-Teacher Ratio, NJ ,iselin,Public School ,https://www.niche.com/k12/john-f-kennedy-memorial-high-school-iselin-nj/
6034,#90 Best Public High Schools in New Jersey,H,Rutherford School District,AOverall Niche Grade,9-12 ,Rutherford High School,729 Students,87.0,11:1 Student-Teacher Ratio, NJ ,rutherford,Public School ,https://www.niche.com/k12/rutherford-high-school-rutherford-nj/
6036,#91 Best Public High Schools in New Jersey,H,Linwood,AOverall Niche Grade,9-12 ,Mainland Regional High School,"1,285 Students",88.0,12:1 Student-Teacher Ratio, NJ ,linwood,Public School ,https://www.niche.com/k12/mainland-regional-high-school-linwood-nj/
6038,#92 Best Public High Schools in New Jersey,H,Monroe Township School District,AOverall Niche Grade,9-12 ,Monroe Township High School,"2,152 Students",89.0,13:1 Student-Teacher Ratio, NJ ,monroe-township,Public School ,https://www.niche.com/k12/monroe-township-high-school-monroe-township-nj/
6040,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/passaic-county-technical-institute-wayne-nj/
6043,#94 Best Public High Schools in New Jersey,H,Somerville Public School District,AOverall Niche Grade,9-12 ,Somerville High School,"1,134 Students",90.0,12:1 Student-Teacher Ratio, NJ ,somerville,Public School ,https://www.niche.com/k12/somerville-high-school-somerville-nj/
6045,#95 Best Public High Schools in New Jersey,H,North Hunterdon-Voorhees Regional High School District,AOverall Niche Grade,9-12 ,North Hunterdon High School,"1,606 Students",91.0,13:1 Student-Teacher Ratio, NJ ,annandale,Public School ,https://www.niche.com/k12/north-hunterdon-high-school-annandale-nj/
6047,#96 Best Public High Schools in New Jersey,H,Lenape Regional High School District,AOverall Niche Grade,9-12 ,Cherokee High School,"2,186 Students",92.0,12:1 Student-Teacher Ratio, NJ ,marlton,Public School ,https://www.niche.com/k12/cherokee-high-school-marlton-nj/
6049,#97 Best Public High Schools in New Jersey,H,North Hunterdon-Voorhees Regional High School District,AOverall Niche Grade,9-12 ,Voorhees High School,976 Students,93.0,12:1 Student-Teacher Ratio, NJ ,glen-gardner,Public School ,https://www.niche.com/k12/voorhees-high-school-glen-gardner-nj/
6051,#98 Best Public High Schools in New Jersey,H,Newark,AOverall Niche Grade,K-12 ,North Star Academy Charter School of Newark,"4,490 Students",94.0,16:1 Student-Teacher Ratio, NJ ,of-newark-newark,Public School ,https://www.niche.com/k12/north-star-academy-charter-school-of-newark-newark-nj/
6054,#99 Best Public High Schools in New Jersey,H,Freehold Regional High School District,AOverall Niche Grade,9-12 ,Colts Neck High School,"1,380 Students",95.0,14:1 Student-Teacher Ratio, NJ ,colts-neck,Public School ,https://www.niche.com/k12/colts-neck-high-school-colts-neck-nj/
6056,#100 Best Public High Schools in New Jersey,H,Dumont Public School District,AOverall Niche Grade,9-12 ,Dumont High School,788 Students,96.0,12:1 Student-Teacher Ratio, NJ ,dumont,Public School ,https://www.niche.com/k12/dumont-high-school-dumont-nj/
6058,#101 Best Public High Schools in New Jersey,H,Point Pleasant Beach School District,AOverall Niche Grade,9-12 ,Point Pleasant Beach High School,351 Students,97.0,10:1 Student-Teacher Ratio, NJ ,point-pleasant-beach,Public School ,https://www.niche.com/k12/point-pleasant-beach-high-school-point-pleasant-beach-nj/
6062,,H,,,,The Green Vale School,,,,,glen-head-ny,,https://www.niche.com/k12/the-green-vale-school-glen-head-ny/
6072,#105 Best Public High Schools in New Jersey,H,Jersey City,AOverall Niche Grade,9-12 ,County Prep High School,838 Students,103.0,9:1 Student-Teacher Ratio, NJ ,jersey-city,Public School ,https://www.niche.com/k12/county-prep-high-school-jersey-city-nj/
6074,#106 Best Public High Schools in New Jersey,H,Lawrence Township Public School District,AOverall Niche Grade,9-12 ,Lawrence High School,"1,135 Students",104.0,12:1 Student-Teacher Ratio, NJ ,lawrenceville,Public School ,https://www.niche.com/k12/lawrence-high-school-lawrenceville-nj/
6076,#107 Best Public High Schools in New Jersey,H,Montville Township School District,AOverall Niche Grade,9-12 ,Montville Township High School,"1,186 Students",105.0,10:1 Student-Teacher Ratio, NJ ,montville,Public School ,https://www.niche.com/k12/montville-township-high-school-montville-nj/
6080,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/gloucester-county-institute-of-technology-sewell-nj/
6081,#109 Best Public High Schools in New Jersey,H,Mount Holly,AOverall Niche Grade,9-12 ,Rancocas Valley Regional High School,"2,053 Students",106.0,14:1 Student-Teacher Ratio, NJ ,mount-holly,Public School ,https://www.niche.com/k12/rancocas-valley-regional-high-school-mount-holly-nj/
6083,#110 Best Public High Schools in New Jersey,H,Matawan-Aberdeen Regional School District,AOverall Niche Grade,9-12 ,Matawan Regional High School,"1,006 Students",107.0,11:1 Student-Teacher Ratio, NJ ,aberdeen,Public School ,https://www.niche.com/k12/matawan-regional-high-school-aberdeen-nj/
6086,#111 Best Public High Schools in New Jersey,H,Sparta Township Public School District,AOverall Niche Grade,9-12 ,Sparta High School,"1,071 Students",108.0,11:1 Student-Teacher Ratio, NJ ,sparta,Public School ,https://www.niche.com/k12/sparta-high-school-sparta-nj/
6088,#112 Best Public High Schools in New Jersey,H,Freehold Regional High School District,AOverall Niche Grade,9-12 ,Marlboro High School,"1,885 Students",109.0,14:1 Student-Teacher Ratio, NJ ,marlboro,Public School ,https://www.niche.com/k12/marlboro-high-school-marlboro-nj/
6090,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/mercer-county-technical-schools---assunpink-center-trenton-nj/
6093,#114 Best Public High Schools in New Jersey,H,Wayne Township Public School District,AOverall Niche Grade,9-12 ,Wayne Valley High School,"1,294 Students",110.0,11:1 Student-Teacher Ratio, NJ ,wayne,Public School ,https://www.niche.com/k12/wayne-valley-high-school-wayne-nj/
6095,#115 Best Public High Schools in New Jersey,H,Edison Township School District,AOverall Niche Grade,9-12 ,Edison High School,"1,932 Students",111.0,12:1 Student-Teacher Ratio, NJ ,edison,Public School ,https://www.niche.com/k12/edison-high-school-edison-nj/
6097,#116 Best Public High Schools in New Jersey,H,Fort Lee School District,AOverall Niche Grade,9-12 ,Fort Lee High School,953 Students,112.0,13:1 Student-Teacher Ratio, NJ ,fort-lee,Public School ,https://www.niche.com/k12/fort-lee-high-school-fort-lee-nj/
6099,#117 Best Public High Schools in New Jersey,H,Lenape Regional High School District,A-Overall Niche Grade,9-12 ,Shawnee High School,"1,547 Students",113.0,12:1 Student-Teacher Ratio, NJ ,medford,Public School ,https://www.niche.com/k12/shawnee-high-school-medford-nj/
6101,#118 Best Public High Schools in New Jersey,H,Ocean City School District,A-Overall Niche Grade,9-12 ,Ocean City High School,"1,227 Students",114.0,13:1 Student-Teacher Ratio, NJ ,ocean-city,Public School ,https://www.niche.com/k12/ocean-city-high-school-ocean-city-nj/
6105,#119 Best Public High Schools in New Jersey,H,Freehold Regional High School District,A-Overall Niche Grade,9-12 ,Freehold Township High School,"2,013 Students",115.0,15:1 Student-Teacher Ratio, NJ ,freehold-twp,Public School ,https://www.niche.com/k12/freehold-township-high-school-freehold-twp-nj/
6107,#120 Best Public High Schools in New Jersey,H,Greater Egg Harbor Regional High School District,A-Overall Niche Grade,9-12 ,Cedar Creek High School,872 Students,116.0,12:1 Student-Teacher Ratio, NJ ,egg-harbor-city,Public School ,https://www.niche.com/k12/cedar-creek-high-school-egg-harbor-city-nj/
6109,#121 Best Public High Schools in New Jersey,H,Springfield Public School District,A-Overall Niche Grade,9-12 ,Jonathan Dayton High School,562 Students,117.0,12:1 Student-Teacher Ratio, NJ ,springfield,Public School ,https://www.niche.com/k12/jonathan-dayton-high-school-springfield-nj/
6111,#122 Best Public High Schools in New Jersey,H,Morris School District,A-Overall Niche Grade,9-12 ,Morristown High School,"1,825 Students",118.0,15:1 Student-Teacher Ratio, NJ ,morristown,Public School ,https://www.niche.com/k12/morristown-high-school-morristown-nj/
6113,#123 Best Public High Schools in New Jersey,H,East Windsor Regional School District,A-Overall Niche Grade,9-12 ,Hightstown High School,"1,538 Students",119.0,12:1 Student-Teacher Ratio, NJ ,hightstown,Public School ,https://www.niche.com/k12/hightstown-high-school-hightstown-nj/
6116,#124 Best Public High Schools in New Jersey,H,Westwood Regional School District,A-Overall Niche Grade,"PK, 8-12 ",Westwood Junior/Senior High School,"1,065 Students",120.0,11:1 Student-Teacher Ratio, NJ ,township-of-washington,Public School ,https://www.niche.com/k12/westwood-junior-senior-high-school-township-of-washington-nj/
6118,#125 Best Public High Schools in New Jersey,H,Hanover Park Regional High School District,A-Overall Niche Grade,9-12 ,Hanover Park High School,829 Students,121.0,10:1 Student-Teacher Ratio, NJ ,east-hanover,Public School ,https://www.niche.com/k12/hanover-park-high-school-east-hanover-nj/
6120,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/infinity-institute-jersey-city-nj/
6127,#128 Best Public High Schools in New Jersey,H,Bridgewater,A-Overall Niche Grade,9-12 ,Somerset County Vocational Tech High School,330 Students,125.0,5:1 Student-Teacher Ratio, NJ ,bridgewater,Public School ,https://www.niche.com/k12/somerset-county-vocational-tech-high-school-bridgewater-nj/
6129,#129 Best Public High Schools in New Jersey,H,New Milford Public School District,A-Overall Niche Grade,9-12 ,New Milford High School,607 Students,126.0,12:1 Student-Teacher Ratio, NJ ,new-milford,Public School ,https://www.niche.com/k12/new-milford-high-school-new-milford-nj/
6150,#137 Best Public High Schools in New Jersey,H,Somerset,A-Overall Niche Grade,K-12 ,Central Jersey College Prep Charter School,476 Students,135.0,10:1 Student-Teacher Ratio, NJ ,somerset,Public School ,https://www.niche.com/k12/central-jersey-college-prep-charter-school-somerset-nj/
6152,#138 Best Public High Schools in New Jersey,H,Cinnaminson Township Public Schools,A-Overall Niche Grade,9-12 ,Cinnaminson High School,774 Students,136.0,11:1 Student-Teacher Ratio, NJ ,cinnaminson,Public School ,https://www.niche.com/k12/cinnaminson-high-school-cinnaminson-nj/
